Tempo,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15,Sensor 16,Sensor 17
2.339999999999994,63,494,0,525,0,1,1,1,161,69,1,1,9376,2300,-11736,-85,100,-101
2.349999999999994,62,491,0,524,0,1,0,1,162,70,1,1,9420,2372,-11456,-96,94,-108
2.3599999999999937,79,417,2,531,0,0,1,1,162,82,1,0,9340,2316,-11656,-96,100,-92
2.3699999999999934,59,299,1,445,0,0,1,1,162,84,1,0,9440,2268,-11592,-79,100,-110
2.3799999999999932,60,294,0,438,0,1,1,1,162,82,1,1,9468,2248,-11752,-82,82,-90
2.389999999999993,45,148,1,341,0,2,0,1,161,49,0,1,9404,2400,-11540,-95,89,-102
2.399999999999993,18,102,1,294,0,0,0,0,162,25,1,0,9436,2352,-11444,-80,95,-84
2.4099999999999926,0,98,1,264,0,1,0,0,162,0,0,1,9416,2392,-11668,-91,87,-95
2.4199999999999924,0,425,1,428,0,1,0,0,161,0,0,0,9340,2268,-11564,-84,90,-102
2.429999999999992,45,514,1,529,1,1,0,1,162,66,1,1,9428,2284,-11440,-85,88,-92
2.439999999999992,75,391,1,518,0,1,0,2,161,84,0,1,9364,2336,-11528,-106,106,-89
2.4499999999999917,77,387,0,509,0,1,1,1,162,84,1,1,9440,2360,-11540,-85,117,-93
2.4599999999999915,58,281,1,433,0,1,1,1,162,79,1,1,9496,2280,-11684,-106,72,-91
2.4699999999999913,53,205,1,379,0,1,1,1,162,61,1,0,9440,2260,-11588,-84,110,-83
2.479999999999991,41,136,1,330,0,1,0,0,161,43,1,0,9428,2244,-11720,-77,81,-108
2.489999999999991,7,95,1,286,0,0,0,1,162,19,1,0,9444,2372,-11612,-90,98,-84
2.4999999999999907,0,161,0,278,1,0,0,0,162,0,0,1,9356,2456,-11648,-103,97,-78
2.5099999999999905,0,436,1,445,1,0,0,0,162,0,0,1,9396,2340,-11592,-98,86,-111
2.5199999999999902,50,508,1,523,0,1,0,1,162,66,1,1,9412,2364,-11712,-94,98,-85
2.52999999999999,68,359,1,498,0,1,0,1,162,83,0,1,9416,2492,-11512,-81,100,-92
2.53999999999999,58,265,1,423,0,1,0,1,163,73,1,0,9408,2268,-11532,-97,92,-88
2.5499999999999896,36,120,1,321,0,2,0,1,162,41,0,1,9340,2268,-11640,-74,113,-88
